"","census_geoid_start","year","month","census_geoid_end","trips","daily"
"99","48453000101","2018","12","48453000307",1,0.032258064516129
"100","48453000101","2018","12","48453000500",3,0.0967741935483871
"101","48453000101","2018","12","48453000601",4,0.129032258064516
"102","48453000101","2018","12","48453000603",3,0.0967741935483871
"103","48453000101","2018","12","48453000604",1,0.032258064516129
"104","48453000101","2018","12","48453000804",1,0.032258064516129
"105","48453000101","2018","12","48453001100",5,0.161290322580645
"106","48453000101","2018","12","48453001200",4,0.129032258064516
"107","48453000101","2018","12","48453001303",1,0.032258064516129
"108","48453000101","2018","12","48453001501",3,0.0967741935483871
"109","48453000101","2018","12","48453001503",3,0.0967741935483871
"110","48453000101","2018","12","48453001504",2,0.0645161290322581
"111","48453000101","2018","12","48453001603",24,0.774193548387097
"112","48453000101","2018","12","48453001605",2,0.0645161290322581
"113","48453000101","2018","12","48453001705",1,0.032258064516129
"114","48453000101","2018","12","48453001718",3,0.0967741935483871
"115","48453000101","2018","12","48453001719",1,0.032258064516129
"116","48453000101","2018","12","48453001751",1,0.032258064516129
"117","48453000101","2018","12","48453001817",1,0.032258064516129
"118","48453000101","2018","12","48453002107",2,0.0645161290322581
"119","48453000101","2018","4","48453000101",2,0.0645161290322581
"120","48453000101","2018","4","48453000305",1,0.032258064516129
"121","48453000101","2018","4","48453000603",2,0.0645161290322581
"122","48453000101","2018","4","48453001200",1,0.032258064516129
"123","48453000101","2018","6","48453000101",2,0.0645161290322581
"124","48453000101","2018","6","48453000603",1,0.032258064516129
"125","48453000101","2018","6","48453001503",1,0.032258064516129
"126","48453000101","2018","7","48453000101",9,0.290322580645161
"127","48453000101","2018","7","48453000204",2,0.0645161290322581
"128","48453000101","2018","7","48453000206",1,0.032258064516129
"129","48453000101","2018","7","48453000302",1,0.032258064516129
"130","48453000101","2018","7","48453001911",1,0.032258064516129
"131","48453000101","2018","8","48453000101",18,0.580645161290323
"132","48453000101","2018","8","48453000203",4,0.129032258064516
"133","48453000101","2018","8","48453000204",4,0.129032258064516
"134","48453000101","2018","8","48453000302",2,0.0645161290322581
"135","48453000101","2018","8","48453001100",3,0.0967741935483871
"136","48453000101","2018","8","48453001603",2,0.0645161290322581
"137","48453000101","2018","8","48453001818",1,0.032258064516129
"138","48453000101","2018","9","48453000101",20,0.645161290322581
"139","48453000101","2018","9","48453000204",15,0.483870967741935
"140","48453000101","2018","9","48453000205",2,0.0645161290322581
"141","48453000101","2018","9","48453000206",4,0.129032258064516
"142","48453000101","2018","9","48453000500",1,0.032258064516129
"143","48453000101","2018","9","48453000603",7,0.225806451612903
"144","48453000101","2018","9","48453000604",2,0.0645161290322581
"145","48453000101","2018","9","48453001603",1,0.032258064516129
"146","48453000101","2018","9","48453001718",2,0.0645161290322581
"147","48453000101","2019","1","48453000101",132,4.25806451612903
"148","48453000101","2019","1","48453000102",1,0.032258064516129
"149","48453000101","2019","1","48453000203",3,0.0967741935483871
"150","48453000101","2019","1","48453000204",37,1.19354838709677
"151","48453000101","2019","1","48453000205",7,0.225806451612903
"152","48453000101","2019","1","48453000206",10,0.32258064516129
"153","48453000101","2019","1","48453000302",5,0.161290322580645
"154","48453000101","2019","1","48453000304",1,0.032258064516129
"155","48453000101","2019","1","48453000305",3,0.0967741935483871
"156","48453000101","2019","1","48453000401",1,0.032258064516129
"157","48453000101","2019","1","48453000500",3,0.0967741935483871
"158","48453000101","2019","1","48453000601",6,0.193548387096774
"159","48453000101","2019","1","48453000603",2,0.0645161290322581
"160","48453000101","2019","1","48453000604",4,0.129032258064516
"161","48453000101","2019","1","48453000700",2,0.0645161290322581
"162","48453000101","2019","1","48453000801",1,0.032258064516129
"163","48453000101","2019","1","48453000803",1,0.032258064516129
"164","48453000101","2019","1","48453000902",1,0.032258064516129
"165","48453000101","2019","1","48453001100",7,0.225806451612903
"166","48453000101","2019","1","48453001200",3,0.0967741935483871
"167","48453000101","2019","1","48453001305",1,0.032258064516129
"168","48453000101","2019","1","48453001504",1,0.032258064516129
"169","48453000101","2019","1","48453001603",18,0.580645161290323
"170","48453000101","2019","1","48453001604",2,0.0645161290322581
"171","48453000101","2019","1","48453001605",4,0.129032258064516
"172","48453000101","2019","1","48453001718",1,0.032258064516129
"173","48453000101","2019","1","48453001817",2,0.0645161290322581
"174","48453000101","2019","1","48453002110",1,0.032258064516129
"175","48453000101","2019","10","48453000101",29,0.935483870967742
"176","48453000101","2019","10","48453000102",1,0.032258064516129
"177","48453000101","2019","10","48453000203",2,0.0645161290322581
"178","48453000101","2019","10","48453000204",7,0.225806451612903
"179","48453000101","2019","10","48453000205",4,0.129032258064516
"180","48453000101","2019","10","48453000206",9,0.290322580645161
"181","48453000101","2019","10","48453000305",2,0.0645161290322581
"182","48453000101","2019","10","48453000401",1,0.032258064516129
"183","48453000101","2019","10","48453000500",4,0.129032258064516
"184","48453000101","2019","10","48453000603",4,0.129032258064516
"185","48453000101","2019","10","48453001000",1,0.032258064516129
"186","48453000101","2019","10","48453001100",12,0.387096774193548
"187","48453000101","2019","10","48453001200",2,0.0645161290322581
"188","48453000101","2019","10","48453001303",3,0.0967741935483871
"189","48453000101","2019","10","48453001505",1,0.032258064516129
"190","48453000101","2019","10","48453001603",8,0.258064516129032
"191","48453000101","2019","11","48453000101",26,0.838709677419355
"192","48453000101","2019","11","48453000203",2,0.0645161290322581
"193","48453000101","2019","11","48453000204",11,0.354838709677419
"194","48453000101","2019","11","48453000206",1,0.032258064516129
"195","48453000101","2019","11","48453000302",1,0.032258064516129
"196","48453000101","2019","11","48453000306",1,0.032258064516129
"197","48453000101","2019","11","48453000500",2,0.0645161290322581
"198","48453000101","2019","11","48453000601",2,0.0645161290322581
"199","48453000101","2019","11","48453000603",11,0.354838709677419
"200","48453000101","2019","11","48453001100",8,0.258064516129032
"201","48453000101","2019","11","48453001200",1,0.032258064516129
"202","48453000101","2019","11","48453001505",1,0.032258064516129
"203","48453000101","2019","11","48453001603",3,0.0967741935483871
"204","48453000101","2019","11","48453001752",1,0.032258064516129
"205","48453000101","2019","12","48453000101",14,0.451612903225806
"206","48453000101","2019","12","48453000203",2,0.0645161290322581
"207","48453000101","2019","12","48453000204",5,0.161290322580645
"208","48453000101","2019","12","48453000205",1,0.032258064516129
"209","48453000101","2019","12","48453000206",3,0.0967741935483871
"210","48453000101","2019","12","48453000302",1,0.032258064516129
"211","48453000101","2019","12","48453000500",1,0.032258064516129
"212","48453000101","2019","12","48453000601",2,0.0645161290322581
"213","48453000101","2019","12","48453000603",6,0.193548387096774
"214","48453000101","2019","12","48453000604",1,0.032258064516129
"215","48453000101","2019","12","48453001100",4,0.129032258064516
"216","48453000101","2019","12","48453001603",9,0.290322580645161
"217","48453000101","2019","2","48453000101",68,2.42857142857143
"218","48453000101","2019","2","48453000102",1,0.0357142857142857
"219","48453000101","2019","2","48453000203",3,0.107142857142857
"220","48453000101","2019","2","48453000204",43,1.53571428571429
"221","48453000101","2019","2","48453000205",11,0.392857142857143
"222","48453000101","2019","2","48453000206",9,0.321428571428571
"223","48453000101","2019","2","48453000302",4,0.142857142857143
"224","48453000101","2019","2","48453000305",2,0.0714285714285714
"225","48453000101","2019","2","48453000500",4,0.142857142857143
"226","48453000101","2019","2","48453000601",7,0.25
"227","48453000101","2019","2","48453000603",5,0.178571428571429
"228","48453000101","2019","2","48453000700",1,0.0357142857142857
"229","48453000101","2019","2","48453001100",5,0.178571428571429
"230","48453000101","2019","2","48453001200",1,0.0357142857142857
"231","48453000101","2019","2","48453001303",1,0.0357142857142857
"232","48453000101","2019","2","48453001501",1,0.0357142857142857
"233","48453000101","2019","2","48453001505",1,0.0357142857142857
"234","48453000101","2019","2","48453001603",12,0.428571428571429
"235","48453000101","2019","2","48453001605",7,0.25
"236","48453000101","2019","2","48453001718",1,0.0357142857142857
"237","48453000101","2019","3","48453000101",123,3.96774193548387
"238","48453000101","2019","3","48453000102",4,0.129032258064516
"239","48453000101","2019","3","48453000203",9,0.290322580645161
"240","48453000101","2019","3","48453000204",46,1.48387096774194
"241","48453000101","2019","3","48453000205",15,0.483870967741935
"242","48453000101","2019","3","48453000206",8,0.258064516129032
"243","48453000101","2019","3","48453000302",4,0.129032258064516
"244","48453000101","2019","3","48453000305",3,0.0967741935483871
"245","48453000101","2019","3","48453000401",1,0.032258064516129
"246","48453000101","2019","3","48453000402",1,0.032258064516129
"247","48453000101","2019","3","48453000500",4,0.129032258064516
"248","48453000101","2019","3","48453000601",6,0.193548387096774
"249","48453000101","2019","3","48453000603",3,0.0967741935483871
"250","48453000101","2019","3","48453000604",5,0.161290322580645
"251","48453000101","2019","3","48453000700",2,0.0645161290322581
"252","48453000101","2019","3","48453001100",15,0.483870967741935
"253","48453000101","2019","3","48453001200",10,0.32258064516129
"254","48453000101","2019","3","48453001303",5,0.161290322580645
"255","48453000101","2019","3","48453001305",2,0.0645161290322581
"256","48453000101","2019","3","48453001501",3,0.0967741935483871
"257","48453000101","2019","3","48453001503",2,0.0645161290322581
"258","48453000101","2019","3","48453001504",1,0.032258064516129
"259","48453000101","2019","3","48453001505",4,0.129032258064516
"260","48453000101","2019","3","48453001602",6,0.193548387096774
"261","48453000101","2019","3","48453001603",17,0.548387096774194
"262","48453000101","2019","3","48453001604",2,0.0645161290322581
"263","48453000101","2019","3","48453001605",7,0.225806451612903
"264","48453000101","2019","3","48453001705",1,0.032258064516129
"265","48453000101","2019","3","48453001719",1,0.032258064516129
"266","48453000101","2019","3","48453001812",1,0.032258064516129
"267","48453000101","2019","3","48453001911",2,0.0645161290322581
"268","48453000101","2019","4","48453000101",98,3.16129032258065
"269","48453000101","2019","4","48453000203",6,0.193548387096774
"270","48453000101","2019","4","48453000204",30,0.967741935483871
"271","48453000101","2019","4","48453000205",10,0.32258064516129
"272","48453000101","2019","4","48453000206",14,0.451612903225806
"273","48453000101","2019","4","48453000302",2,0.0645161290322581
"274","48453000101","2019","4","48453000305",3,0.0967741935483871
"275","48453000101","2019","4","48453000500",5,0.161290322580645
"276","48453000101","2019","4","48453000601",9,0.290322580645161
"277","48453000101","2019","4","48453000603",7,0.225806451612903
"278","48453000101","2019","4","48453000604",4,0.129032258064516
"279","48453000101","2019","4","48453000700",1,0.032258064516129
"280","48453000101","2019","4","48453001100",6,0.193548387096774
"281","48453000101","2019","4","48453001200",5,0.161290322580645
"282","48453000101","2019","4","48453001503",2,0.0645161290322581
"283","48453000101","2019","4","48453001504",1,0.032258064516129
"284","48453000101","2019","4","48453001603",13,0.419354838709677
"285","48453000101","2019","4","48453001604",3,0.0967741935483871
"286","48453000101","2019","4","48453001605",4,0.129032258064516
"287","48453000101","2019","4","48453001706",3,0.0967741935483871
"288","48453000101","2019","4","48453001707",1,0.032258064516129
"289","48453000101","2019","5","48453000101",64,2.06451612903226
"290","48453000101","2019","5","48453000102",1,0.032258064516129
"291","48453000101","2019","5","48453000203",3,0.0967741935483871
"292","48453000101","2019","5","48453000204",21,0.67741935483871
